isbn,title,author,year
0446696161,Fledgling,Octavia E. Butler,2005
1451686633,The Passenger,Lisa Lutz,2016
0743272498,The Constant Princess,Philippa Gregory,2005
0142408808,Superfudge,Judy Blume,1980
0385338600,A Time to Kill,John Grisham,1989
0062271121,Amy & Matthew,Cammie McGovern,2014
0802139256,Peace Like a River,Leif Enger,2001
0380790076,Simply Irresistible,Rachel Gibson,1998
0312932812,Crazy For You,Jennifer Crusie,1999
0743272501,The Boleyn Inheritance,Philippa Gregory,2006
1599900734,Princess Academy,Shannon Hale,2005
0425238814,The Perfect Play,Jaci Burton,2011
0767907817,Bookends,Jane Green,2000
0399216197,Lon Po Po,Ed Young,1989
1400063973,The 19th Wife,David Ebershoff,2008
0553381334,A Man in Full,Tom Wolfe,1998
0441013406,Academ's Fury,Jim Butcher,2005
1594488800,The Little Stranger,Sarah Waters,2009
0545123267,Shiver,Maggie Stiefvater,2009
0812520475,Eon,Greg Bear,1984
0440164842,Noble House,James Clavell,1981
0141187492,Scoop,Evelyn Waugh,1937
006233638X,Fill-in boyfrined,Kasie West,2015
0876850867,Post Office,Charles Bukowski,1971
0767903862,Down Under,Bill Bryson,2000
1595143181,The Golden Lily,Richelle Mead,2012
0399256938,Rebel Belle,Rachel Hawkins,2014
1250006325,Torn,Amanda Hocking,2010
0156007479,Slammerkin,Emma Donoghue,2000
0349117624,Jennifer Government,Max Barry,2002
0007524277,Allegiant,Veronica Roth,2013
0449818438,Mitosis,Brandon Sanderson,2013
0140186301,Lucky Jim,"Kingsley Amis, David Lodge",1954
0446583146,One Summer,David Baldacci,2011
0061449067,Hunger ,Michael  Grant,2009
1476791619,A Work in Progress,Connor Franta,2015
0316041440,Hate List,Jennifer Brown,2009
0689875347,A Great and Terrible Beauty,Libba Bray,2003
1627792120,Six of Crows,Leigh Bardugo,2015
0394574753,The Crossing ,Cormac McCarthy,1994
0553803727,Foundation and Empire,Isaac Asimov,1952
0446675539,Gone with the Wind,Margaret Mitchell,1936
0843955430,The Girl Next Door,Jack Ketchum,1989
1416516859,Deep Six,Clive Cussler,1984
1442152613,Elizabeth Street,Laurie Fabiano,2006
0553288202,The Fall of Hyperion,Dan Simmons,1990
0804179034,Uprooted,Naomi Novik,2015
1400031702,The Secret History,Donna Tartt,1992
1416995552,It's Not Summer Without You,Jenny Han,2010
0449912426,Drei Kameraden,Erich Maria Remarque,1936
0060788194,A Fistful of Charms,Kim Harrison,2006
1416530711,"Whitney, My Love",Judith McNaught,1985
0450542882,Four Past Midnight,Stephen King,1990
0380018179,The Thorn Birds,Colleen McCullough,1977
1250034604,That Night,Chevy Stevens,2014
0345457714,Broken Angels,Richard K. Morgan,2003
0446195510,True Blue,David Baldacci,2009
0060764902,The magician's nephew,C.S. Lewis,1953
0679720219,La peste,"Albert Camus, Stuart Gilbert",1947
0061140988,The Fury and Dark Reunion,L.J. Smith,2007
0307277674,The Da Vinci Code,Dan Brown,2003
0060725125,Ninth Key,Meg Cabot,2001
0061345725,Envy,Anna Godbersen,2009
0241141826,Skippy Dies,Paul Murray,2010
0786849568,The Lost Colony,Eoin Colfer,2006
0316018589,Barefoot,Elin Hilderbrand,2007
0399214577,Owl Moon,"Jane Yolen, John Schoenherr",1987
0385344228,Defending Jacob,William Landay,2012
0312306342,Plum Lovin',Janet Evanovich,2007
1594485755,The Psychopath Test,Jon Ronson,2011
0553589172,Ashes to Ashes,Tami Hoag,1999
0575132507,Foxglove Summer,Ben Aaronovitch,2014
0060562498,It Happened One Autumn,Lisa Kleypas,2005
1476728747,The Wright Brothers,David McCullough,2015
0575077166,The Prefect,Alastair Reynolds,2007
074347788X,Undaunted Courage,Stephen E. Ambrose,1996
0393328627,The History of Love,Nicole Krauss,2005
1400068312,Sisterland,Curtis Sittenfeld,2013
038533916X,Bloodfever,Karen Marie Moning,2007
1557488150,In His Steps,Charles M. Sheldon,1896
1467964409,Wife by wednesday,Catherine Bybee,2011
1439172560,The First Bad Man,Miranda July,2015
0451229851,"Lover Avenged, part one",J.R. Ward,2010
0451222725,"Lover Enshrined, part one",J.R. Ward,2008
1594204993,Redeployment,Phil Klay,2014
0316952664,The Winds of War,Herman Wouk,1971
0515141658,Morrigan's Cross,Nora Roberts,2006
0241963745,The Other Typist,Suzanne Rindell,2013
006621131X,Just Kids,Patti Smith,2010
0316778508,The Dogs of Babel,Carolyn  Parkhurst,2003
0060596988,Lit,Mary Karr,2008
0425205967,Cat Among the Pigeons,Agatha Christie,1959
014023828X,The Tortilla Curtain,T.C. Boyle,1995
0316910333,Gossip Girl,Cecily von Ziegesar,2002
1741662095,Erak's Ransom,John Flanagan,2007
0062073125,The Fallen Angel,Daniel Silva,2012
0345485750,The Alexandria Link,Steve Berry,2007
0062217070,Reboot,Amy Tintera,2013
0061240850,Anybody Out There?,Marian Keyes,2006
0060759968,Little Altars Everywhere,Rebecca Wells,1992
0316713732,The Last Time They Met,Anita Shreve,2001
0440243750,Summer Sisters,Judy Blume,1998
0765348276,Old Man's War,John Scalzi,2005
0452287898,Love Walked In,Marisa de los Santos,2005
0425263908,Bared to You,Sylvia Day,2012
1451645821,Ordinary Grace,William Kent Krueger,2013
0374480095,Tuck Everlasting,Natalie Babbitt,1975
0743430336,Mercy,Julie Garwood,2001
0451461991,Embrace the Night,Karen Chance,2008
0440240948,The Gates of Rome,Conn Iggulden,2002
0307599469,Seating Arrangements,Maggie Shipstead,2012
0545060494,Storm Warning,Linda Sue Park,2010
0312939019,C is for Corpse,Sue Grafton,1986
0374324913,Lockdown,Alexander Gordon Smith,2009
0143039946,Gravity's Rainbow,Thomas Pynchon,1973
0345485777,The Venetian Betrayal,Steve Berry,2007
0060855924,The Colour of Magic,Terry Pratchett,1983
0552150215,The Analyst,John Katzenbach,2002
1455520616,See Me,Nicholas Sparks,2015
067976402X,Snow Falling on Cedars,David Guterson,1994
1585673692,True Grit,Charles Portis,1968
1897299214,Pyongyang,Guy Delisle,2003
0553582453,The Golden Fool,Robin Hobb,2002
0767919408,One Summer: America 1927,Bill Bryson,2013
0312650094,Outpost,Ann Aguirre,2012
0439679966,Evil Star,Anthony Horowitz,2006
1781162646,Joyland,Stephen King,2013
0061449091,Lies,Michael  Grant,2010
0515141399,Blue Smoke,Nora Roberts,2005
1416953582,Fade,Lisa McMann,2009
0743470125,Goodnight Nobody,Jennifer Weiner,2005
0671737635,Something Wonderful,Judith McNaught,1988
0525952764,Catch Me,Lisa Gardner,2012
1592402739,Candy Girl,Diablo Cody,2005
0425141233,Winter Prey,John Sandford,1993
0385743580,Firefight,Brandon Sanderson,2015
0307990672,Odd Apocalypse,Dean Koontz,2012
045146379X,Ghost Story,Jim Butcher,2011
0670072818,Finnikin of the Rock,Melina Marchetta,2008
044619154X,Witness,Sandra Brown,1995
0451460936,Touch the Dark,Karen Chance,2006
0143034758,Alexander Hamilton,Ron Chernow,2004
0373210515,The Immortal Rules,Julie Kagawa,2012
0151189781,Collected Poems 1909-1962,T.S. Eliot,1963
0765305119,The Dragon Reborn ,Robert Jordan,1991
0345417968,The 158-Pound Marriage,John Irving,1974
0060724617,Princess Mia,Meg Cabot,2007
0345324390,The Gods of Mars,Edgar Rice Burroughs,1913
0812577566,Knife of Dreams,Robert Jordan,2005
1841954802,Under the Skin,Michel Faber,2000
1594482306,The Night Watch,Sarah Waters,2006
0062320521,Magonia,Maria Dahvana Headley,2015
1416595201,Kill Shot,Vince Flynn,2012
1414310552,Danger in the Shadows,Dee Henderson,1999
0060880120,How to Be Popular,Meg Cabot,2006
1410400964,The Stone Monkey,Jeffery Deaver,2002
0385339674,The Brethren,John Grisham,2000
1560760478,Sojourn (Dark Elf #3),R.A. Salvatore,1990
1841497126,The Reckoning,Kelley Armstrong,2010
0802723462,Scarlet,A.C. Gaughen,2012
0751554154,I Let You Go,Clare Mackintosh,2016
0399250484,Slam,Nick Hornby,2007
0749934131,Vengeance in Death,J.D. Robb,1997
1400052297,A Piece of Cake: A Memoir,Cupcake Brown,2006
1442436646,Poison Princess,Kresley Cole,2012
0545415071,Underworld,Meg Cabot,2012
1501111671,The Bazaar of Bad Dreams,Stephen King,2015
0099267543,Timequake,Kurt Vonnegut Jr.,1997
151166066X,The Mistake,Elle Kennedy,2015
0553820273,Succubus Heat,Richelle Mead,2009
0316032220,Beat the Reaper,Josh Bazell,2008
0451210557,No Second Chance,Harlan Coben,2003
0307377326,Asterios Polyp,David Mazzucchelli,2009
1591141273,Flight of the Intruder,Stephen Coonts,1986
0671721720,The Honor of the Queen,David Weber,1993
0739455834,The Twelfth Card,Jeffery Deaver,2005
0670011304,Waiting For You,Susane Colasanti,2009
1594205418,Funny Girl,Nick Hornby,2014
0446677388,Kiss the Girls,James Patterson,1995
0440132940,Evergreen,Belva Plain,1978
1101875941,Sweetbitter,Stephanie Danler,2016
0749909056,Dream Warrior,Sherrilyn Kenyon,2009
0099489988,Watermelon,Marian Keyes,1995
0061059927,Dark Reunion,L.J. Smith,1991
0446616621,Night Fall,Nelson DeMille,2004
0316735507,Eat to Live,Joel Fuhrman,2003
1595142509,Spirit Bound,Richelle Mead,2010
0812551494,Soul of the Fire,Terry Goodkind,1999
0809510839,Carmilla,J. Sheridan Le Fanu,1872
0062060554,Before I Go to Sleep,S.J. Watson,2011
1857236653,The King Beyond the Gate,David Gemmell,1985
0062072099,Into the Still Blue,Veronica Rossi,2014
0373772467,The Darkest Night,Gena Showalter,2008
0099437597,In Watermelon Sugar,Richard Brautigan,1968
0439236193,White Fang,Jack London,1906
0142437298,Herzog,"Saul Bellow, Philip Roth",1964
0802135226,The Passion,Jeanette Winterson,1987
0345451325,The Fall of Reach,Eric S. Nylund,2001
1595143203,The Fiery Heart,Richelle Mead,2013
1599903423,Captivate,Carrie Jones,2010
0451215737,Prince of Fire,Daniel Silva,2005
1477817158,Left Drowning,Jessica Park,2013
0060725133,Reunion,Meg Cabot,2001
0373210051,My Soul to Keep,Rachel Vincent,2010
0743297334,The Sun Also Rises,Ernest Hemingway,1926
0758266928,Touch of Frost,Jennifer Estep,2011
0671540661,The Shadow of the Torturer,Gene Wolfe,1980
0307271080,Americanah,Chimamanda Ngozi Adichie,2013
0451208706,The Man from St. Petersburg,Ken Follett,1982
0451457811,Storm Front,Jim Butcher,2000
1423128192,The Atlantis Complex,Eoin Colfer,2010
0345335457,Magician's Gambit,David Eddings,1983
038533379X,Soul On Ice,Eldridge Cleaver,1968
0425176657,Belinda,"Anne Rice, Anne Rampling",1986
0061092037,The Fourth Estate,Jeffrey Archer,1996
0345418476,The One Tree,Stephen R. Donaldson,1982
0670059838,"Llama, Llama Red Pajama",Anna Dewdney,2005
0312348266,Secrets of a shoe addict,Beth Harbison,2008
0756405718,Rosemary and Rue,Seanan McGuire,2009
0345450728,Distant Shores,Kristin Hannah,2002
0446546933,Columbine,Dave Cullen,2009
0552154229,The Fifth Elephant,Terry Pratchett,1999
0810970686,The Last Straw,Jeff Kinney,2009
0330247042,Marathon Man,William Goldman,1974
0062285505,The Enchanted,Rene Denfeld,2014
0060092572,The Terminal Man,Michael Crichton,1972
0553588184,Broken,Kelley Armstrong,2006
0758232004,Succubus Shadows ,Richelle Mead,2010
0375829830,Saving Francesca,Melina Marchetta,2003
031609966X,Silver Girl,Elin Hilderbrand,2011
0330448447,The Shifting Fog,Kate Morton,2006
0586064176,Silverthorn,Raymond E. Feist,1985
0450417395,Misery,Stephen King,1987
0679889108,The Lorax,Dr. Seuss,1971
0140309276,Homer Price,Robert McCloskey,1942
0765348810,House of Chains,Steven Erikson,2004
1423157370,The Darkest Minds,Alexandra Bracken,2012
0374384681,The Winner's Curse,Marie Rutkoski,2014
0345397673,Antrax,Terry Brooks,2001
145210655X,Darth Vader and Son,Jeffrey Brown,2012
0140157727,Virtual Light,William Gibson,1993
1416974512,"Night World, No. 2",L.J. Smith,2008
0374260508,The Sellout,Paul Beatty,2015
0316296198,The Magus,John Fowles,1965
147675666X,We Are Not Ourselves,Matthew  Thomas,2014
0312380828,Come Home,Lisa Scottoline,2012
0545040523,Airhead ,Meg Cabot,2008
0552152676,Thud!,Terry Pratchett,2006
0525456074,Rapunzel,Paul O. Zelinsky,1997
0446531383,Strange Highways,Dean Koontz,1995
0312992424,Night Play,Sherrilyn Kenyon,2004
0451529308,Little Women,Louisa May Alcott,1868
0061128643,Lost & Found,Jacqueline Sheehan,2007
0007120710,Sad Cypress,Agatha Christie,1940
0393081508,Heft,Liz Moore,2012
1408810441,Entice,Carrie Jones,2010
038553714X,Gray Mountain,John Grisham,2014
0345545966,Ashley Bell,Dean Koontz,2015
1582346178,A Year in the Merde,Stephen Clarke,2004
0812974611,Pompeii,Robert   Harris,2003
0786887583,Napalm & Silly Putty,George Carlin,2001
1594488134,The Last Nude,Ellis Avery,2012
0553588265,Forever Odd,Dean Koontz,2005
0618724834,The Wednesday Wars,Gary D. Schmidt,2007
0062014536,Requiem,Lauren Oliver,2013
0786838922,Blue Bloods,Melissa de la Cruz,2006
0394757688,The Long Goodbye,Raymond Chandler,1953
0441009425,Revelation Space,Alastair Reynolds,2000
0738718688,Return to Paradise,Simone Elkeles,2010
0007158491,Hop on Pop,Dr. Seuss,1963
1456527738,Sempre,J.M. Darhower,2014
0679456201,My Life on the Road,Gloria Steinem,2015
0439700930,The Dark Hills Divide,Patrick Carman,2003
1555977073,The Argonauts,Maggie Nelson,2015
0307376656,La catedral del mar,Ildefonso Falcones,2006
1741663024,Halt's Peril,John Flanagan,2009
0340895934,Silver Bay,Jojo Moyes,2007
0333761189,The Rats,James Herbert,1974
0062059998,The One,Kiera Cass,2014
0062004018,Die for Me,Amy Plum,2011
0749934433,Imitation in Death,J.D. Robb,2003
0375758771,The Glass Palace,Amitav Ghosh,2000
3552060413,Gut gegen Nordwind,Daniel Glattauer,2006
1451664125,In One Person,John Irving,2012
1400043875,The Ruins,Scott B. Smith,2006
1612187145,Not Quite Dating,Catherine Bybee,2012
044657161X,Simply Irresistible,Jill Shalvis,2010
1595141715,Thirteen Reasons Why,Jay Asher,2007
0385528043,The Confession,John Grisham,2010
0060557818,Neverwhere,Neil Gaiman,1996
0440339340,Worth Dying For,Lee Child,2010
0440222656,The Horse Whisperer,Nicholas Evans,1995
0062279874,Foreplay,Sophie Jordan,2013
1409113965,Minding Frankie,Maeve Binchy,2010
0440244498,Veil of Midnight,Lara Adrian,2008
0316955108,The Caine Mutiny,Herman Wouk,1951
0553213172,Anne of the Island,L.M. Montgomery,1915
0340796146,Five on a Treasure Island ,Enid Blyton,1942
006056251X,Devil in Winter ,Lisa Kleypas,2006
2020418770,V.,Thomas Pynchon,1963
014132502X,The Enemy,Charlie Higson,2009
1400097037,Arthur & George,Julian Barnes,2005
0345497627,The Keepsake,Tess Gerritsen,2008
0545060486,The Emperor's Code,Gordon Korman,2010
0345539478,Unseen,Karin Slaughter,2013
0374193681,The Lover's Dictionary,David Levithan,2011
1419953249,The Sweet Gum Tree,Katherine Allred,2005
1421808307,Burmese Days,George Orwell,1934
1416586571,The Apostle,Brad Thor,2009
0345542924,Top Secret Twenty-One,Janet Evanovich,2014
0553589482,The Search,Iris Johansen,2000
0553282980,Dead Poets Society ,N.H. Kleinbaum,1988
0385521383,New York,Edward Rutherfurd,2009
0064472809,Princess in Love,Meg Cabot,2001
0061784796,Bloodline,James Rollins,2012
0545240778,Prom and Prejudice,Elizabeth Eulberg,2011
0312957572,The Seventh Scroll,Wilbur Smith,1995
0312423799,Dry: A Memoir,Augusten Burroughs,2003
044023803X,Hawksong,Amelia Atwater-Rhodes,2003
0061998168,Every Thing On It,Shel Silverstein,2011
1936365537,How Music Works,David Byrne,2012
0312569033,Monument 14,Emmy Laybourne,2012
1416509887,No Rest for the Wicked,Kresley Cole,2006
0140280464,My Year of Meats,Ruth Ozeki,1998
0525951989,Attachments,Rainbow Rowell,2011
1841499889,Leviathan Wakes,James S.A. Corey,2011
0061992704,Sh*t My Dad Says,Justin Halpern,2010
0307594173,God Help the Child,Toni Morrison,2014
0451461401,White Night,Jim Butcher,2007
0307381757,The Heretic Queen,Michelle Moran,2008
0373210272,My Soul to Steal,Rachel Vincent,2010
1596436581,In Real Life,"Cory Doctorow, Jen Wang",2014
0440245265,Shades of Midnight,Lara Adrian,2009
141655484X,Blaze,"Richard Bachman, Stephen King",2007
0345539788,Red Rising,Pierce Brown,2014
0451475496,Eeny Meeny,M.J. Arlidge,2014
0375836977,A Color of His Own,Leo Lionni,1975
014131088X,Speak,Laurie Halse Anderson,1999
0064440583,Days with Frog and Toad,Arnold Lobel,1979
1419702173,My Friend Dahmer,Derf Backderf,2012
0316037834,The Ambassador's Mission,Trudi Canavan,2010
0670012254,Keep Holding On,Susane Colasanti,2012
1476759545,A Beautiful Wedding,Jamie McGuire,2013
0553575651,Ship of Destiny,Robin Hobb,2000
0143036661,March,Geraldine Brooks,2004
044101769X,First Lord's Fury,Jim Butcher,2008
0679800034,Horton Hears a Who!,Dr. Seuss,1954
0007175191,Horton Hatches the Egg,Dr. Seuss,1940
0515089931,Tramp for the Lord,Corrie ten Boom,1974
039480001X,The Cat in the Hat,Dr. Seuss,1957
0142003239,Live and Let Die,Ian Fleming,1954
0553578529,Into the Wilderness,Sara Donati,1998
1416963987,Doll Bones,"Holly Black, Eliza Wheeler",2013
0671725661,West Side Story,Irving Shulman,1961
0441010644,Chasm City,Alastair Reynolds,2001
0307590615,Decision Points,George W. Bush,2010
144240907X,Fever,Lauren DeStefano,2012
0670022691,Rules of Civility,Amor Towles,2011
147111810X,UnSouled,Neal Shusterman,2013
0375508333,A Raisin in the Sun,Lorraine Hansberry,1959
0505525534,Love Bites,Lynsay Sands,2004
0385521723,A Fraction of the Whole,Steve Toltz,2008
0446611638,Lost Light,Michael Connelly,2003
0062422960,Queen Song,Victoria Aveyard,2015
042518546X,Open Season,C.J. Box,2001
0316734837,Fortune's Rocks,Anita Shreve,1999
0312595670,Still Missing,Chevy Stevens,2010
0060577363,Flyte,"Angie Sage, Mark Zug",2006
0316769177,The Catcher in the Rye,J.D. Salinger,1951
0441012396,Deerskin,Robin McKinley,1993
0345545850,Complete Me,J. Kenner,2013
0451165667,Fatal Vision,Joe McGinniss,1983
0385755929,Holding Up the Universe,Jennifer Niven,2016
0007563035,The Ice Twins,S.K. Tremayne,2015
0545424941,The Dream Thieves,Maggie Stiefvater,2013
0446611778,Last Man Standing,David Baldacci,2001
0307277887,Darkly Dreaming Dexter,Jeff Lindsay,2004
0702229784,Oscar and Lucinda,Peter Carey,1988
0515142867,Midnight Bayou,Nora Roberts,2001
0451215710,Whiteout,Ken Follett,2004
0340682388,What I Loved,Siri Hustvedt,2002
076790284X,Bella Tuscany,Frances Mayes,1999
0385341598,The Onion Field,Joseph Wambaugh,1973
0373210035,My Soul to Take,Rachel Vincent,2009
0451220897,The Dead Girls' Dance,Rachel Caine,2007
031608106X,Deadline,Mira Grant,2011
1595143998,Shades of Earth,Beth Revis,2013
0525954570,Find Her,Lisa Gardner,2016
0312537409,Abandon,Blake Crouch,2009
0062107313,The Valley of Amazement,Amy Tan,2013
0060786523,A Suitable Boy,Vikram Seth,1993
0515128554,Heart of the Sea,Nora Roberts,2000
0451199863,A Pocket Full of Rye,Agatha Christie,1953
1455501476,Lethal,Sandra Brown,2011
1406310263,The Ask and the Answer,Patrick Ness,2009
074326603X,Imperium,Robert   Harris,2006
1616960922,The Emperor's Soul,Brandon Sanderson,2012
0452286034,Bitten,Kelley Armstrong,2001
0142407380,Ark Angel,Anthony Horowitz,2005
0425285049,The Girl Before,J.P. Delaney,2017
0060741872,"Alas, Babylon",Pat Frank,1959
0749934123,Ceremony in Death,J.D. Robb,1997
0452283868,Sula,Toni Morrison,1973
0061020702,The Light Fantastic,Terry Pratchett,1986
042520426X,Origin in Death,J.D. Robb,2005
0061143316,Promise Not to Tell,Jennifer McMahon,2007
0099366711,L.A. Confidential,James Ellroy,1990
0679772669,In the Skin of a Lion,Michael Ondaatje,1987
043977134X,Gregor the Overlander,Suzanne Collins,2003
0099461889,Money,Martin Amis,1984
0440244501,Ashes of Midnight,Lara Adrian,2009
0375705198,Amy & Isabelle,Elizabeth Strout,1998
1442444924,Winger,Andrew  Smith,2013
1936305380,The Redhead Revealed,Alice Clayton,2010
055357342X,A Storm of Swords,George R.R. Martin,2000
1439164630,Left Neglected,Lisa Genova,2011
0812976142,The Alienist,Caleb Carr,1994
0425204308,Broken Prey,John Sandford,2005
0553575384,To Say Nothing of the Dog,Connie Willis,1998
145161747X,The Dovekeepers,Alice Hoffman,2011
0399167064,Big Little Lies,Liane Moriarty,2014
0345481305,Black Powder War,Naomi Novik,2006
0385742886,The Kill Order,James Dashner,2012
1414315716,The Last Sin Eater,Francine Rivers,1998
0312305060,The Hours,Michael Cunningham,1998
0888994168,The Breadwinner,Deborah Ellis,2000
0061566128,Killer ,Sara Shepard,2009
042528011X,Bay of Sighs,Nora Roberts,2016
0312933533,Honour Among Thieves,Jeffrey Archer,1993
0804136572,Ex-Heroes,Peter Clines,2010
0743249291,Wideacre,Philippa Gregory,1987
0842345523,More Than a Carpenter,Josh McDowell,1977
0806512814,Johnny Got His Gun,Dalton Trumbo,1939
0312265050,The Naked and the Dead,Norman Mailer,1948
0061922315,Secret Daughter,Shilpi Somaya Gowda,2010
0891343377,Keys to Drawing,Bert Dodson,1985
1400067111,Shanghai Girls,Lisa See,2009
0385350813,Dept. of Speculation,Jenny Offill,2014
1250000238,Dragon's Oath,"P.C. Cast, Kristin Cast",2011
0515138819,Sunshine,Robin McKinley,2003
054705484X,Indignation,Philip Roth,2008
1935089447,Sophie & Carter,Chelsea Fine,2011
044661002X,Kushiel's Scion,Jacqueline Carey,2006
0060012382,The Wee Free Men,Terry Pratchett,2003
1476727910,The Humans,Matt Haig,2013
1595143173,Bloodlines,Richelle Mead,2011
0618680004,The God Delusion,Richard Dawkins,2006
0451459407,Death Masks,Jim Butcher,2003
0375507256,Cloud Atlas,David Mitchell,2004
0613371658,The Princess Diaries,Meg Cabot,2000
0152002650,Mouse Paint,Ellen Stoll Walsh,1989
1579126294,A Murder is Announced,Agatha Christie,1950
1480114480,The Proposition,Katie Ashley,2012
1408808870,The Finkler Question,Howard Jacobson,2010
0749941995,Just Like Heaven,Julia Quinn,2011
0515116750,Born in Ice,Nora Roberts,1995
1595540067,Saint,Ted Dekker,2006
0743271181,Takedown,Brad Thor,2006
0812508424,Shadows Linger,Glen Cook,1984
0679722769,Ulysses,James Joyce,1922
1596430699,Bad Kitty,Nick Bruel,2005
0553269828,Sundiver,David Brin,1980
0062049801,State of Wonder,Ann Patchett,2011
0786851473,The Arctic Incident,Eoin Colfer,2002
0786891122,Brain Droppings,George Carlin,1997
0373210264,The Goddess Test,Aimee Carter,2011
0062124366,Hana,Lauren Oliver,2011
0543904709,What Katy Did  ,Susan Coolidge,1872
1862301387,Redwall,Brian Jacques,1986
0451226259,Some Girls Bite,Chloe Neill,2009
1423108361,The Time Paradox,Eoin Colfer,2008
0340752475,Coming Home,Rosamunde Pilcher,1995
000735049X,How to Fall in Love,Cecelia Ahern,2014
0803733062,Savvy,Ingrid Law,2008
0380803275,Exile's Return,Raymond E. Feist,2004
0399256180,The Lost Stories,John Flanagan,2011
0451412702,Curse the Dawn,Karen Chance,2009
0152024174,Peak,Roland Smith,2007
0060584750,Mystic River,Dennis Lehane,2001
031624662X,Ancillary Justice,Ann Leckie,2013
0345494997,Loving Frank,Nancy Horan,2007
0385525001,Playing For Pizza,John Grisham,2007
0061957933,The Undead Pool,Kim Harrison,2014
0767905180,Jemima J,Jane Green,2001
061579615X,Damaged,H.M. Ward,2013
0140249435,Rabbit Is Rich,John Updike,1981
006440630X,The Midwife's Apprentice,Karen Cushman,1995
077832740X,The Weight of Silence,Heather Gudenkauf,2008
0345419391,The Renegades of Pern,Anne McCaffrey,1989
141659521X,The Last Man,Vince Flynn,2012
0316261246,Underground Airlines,Ben H. Winters,2016
1455521205,The Target,David Baldacci,2014
0590920685,Ella Enchanted,Gail Carson Levine,1997
0312380720,Look Again,Lisa Scottoline,2009
0345803507,Fifty Shades Freed,E.L. James,2012
0399164448,Festive in Death,J.D. Robb,2014
1571316515,Perfect,Natasha Friend,2004
0590554093,Tris's Book,Tamora Pierce,1998
0099910101,A Farewell to Arms,Ernest Hemingway,1929
0425195481,The Bad Place,Dean Koontz,1989
0425213617,Wicked Ties,Shayla Black,2007
0786818611,Ptolemy's Gate,Jonathan Stroud,2006
0446585025,Seriously...I'm Kidding,Ellen DeGeneres,2011
0373210639,Dare You To,Katie McGarry,2013
0385486804,Into the Wild,Jon Krakauer,1996
0307263991,Swamplandia!,Karen Russell,2011
1502541858,Beautiful Redemption,Jamie McGuire,2015
125005480X,The Book of Speculation,Erika Swyler,2015
0670026328,The Secret Place,Tana French,2014
1250109302,One With You,Sylvia Day,2016
0062208195,Destroy Me,Tahereh Mafi,2012
0385738757,The Scorch Trials,James Dashner,2010
1416516352,Transfer of Power,Vince Flynn,1999
0062001035,Entwined,Heather Dixon,2011
0060086246,Last Chance Saloon,Marian Keyes,1999
0061974552,The Power of Six,Pittacus Lore,2011
0060755865,Avalon High,Meg Cabot,2005
006074068X,Death at La Fenice,Donna Leon,1992
0425116840,The Cardinal of the Kremlin,Tom Clancy,1988
0312937660,Scarecrow,Matthew Reilly,2003
057506689X,Soul Music,Terry Pratchett,1994
0099481243,Enduring Love,Ian McEwan,1997
0446672211,Where the Heart Is,Billie Letts,1995
1451665601,Mile 81,Stephen King,2011
0525952993,The Last Runaway,Tracy Chevalier,2013
0786851716,Sold,Patricia McCormick,2006
009947137X,The Mummy,Anne Rice,1989
0446362662,Summer of Night,Dan Simmons,1991
0452287057,Bastard Out of Carolina,Dorothy Allison,1992
006204964X,Love wins,Rob Bell,2011
0545060451,The Black Circle,Patrick Carman,2009
1400096685,Incendiary,Chris Cleave,2005
0525951059,Long Lost,Harlan Coben,2009
0439856264,Mister Monday,Garth Nix,2003
0316252964,My Cousin Rachel,Daphne du Maurier,1951
1416927883,"Stormy, Misty's Foal",Marguerite Henry,1963
037321099X,Crash Into You,Katie McGarry,2013
0440418518,A Single Shard,Linda Sue Park,2001
1459245954,Afterburn,Sylvia Day,2013
0345505514,The Jefferson Key,Steve Berry,2011
0062116851,Blood of Dragons,Robin Hobb,2013
0803736991,My Life Next Door ,Huntley Fitzpatrick,2012
0425223256,Hostage to Pleasure,Nalini Singh,2008
1405088834,The Temporal Void,Peter F. Hamilton,2008
0349103232,The Crow Road,Iain Banks,1992
0802131867,The Subterraneans,Jack Kerouac,1958
140006466X,Peony in Love,Lisa See,2007
0340739304,The Face Of Deception,Iris Johansen,1998
0425138232,Eye of the Storm,Jack Higgins,1992
0812970438,Chesapeake,James A. Michener,1978
0441011241,Tales from Earthsea,Ursula K. Le Guin,2001
055350584X,"Darkness, Take My Hand",Dennis Lehane,1996
1579126251,Murder at the Vicarage,Agatha Christie,1930
0575058080,Maskerade,Terry Pratchett,1995
1250006333,Ascend,Amanda Hocking,2012
0446695718,Tourist Season,Carl Hiaasen,1986
0375955712,The Diamond of Darkhold,Jeanne DuPrau,2008
1408857901,A Court of Wings and Ruin,Sarah J. Maas,2017
149262246X,This Is Where It Ends,Marieke Nijkamp,2016
0671011332,Almost Heaven,Judith McNaught,1989
0553578553,Dawn on a Distant Shore,Sara Donati,2000
0006513905,The Dice Man,Luke Rhinehart,1971
0749934174,Conspiracy in Death,J.D. Robb,1999
0805072454,Peter Pan,"J.M. Barrie, Michael Hague",1904
0425263916,Reflected in You,Sylvia Day,2012
045121577X,The Innocent,Harlan Coben,2005
0618446877,Dark Star Safari ,Paul Theroux,2002
0425199584,Cold Fire,Dean Koontz,1991
0553278223,The Martian Chronicles,Ray Bradbury,1950
037377138X,Anyone But You ,Jennifer Crusie,1996
